Match Number,Round Number,Date,Location,Home Team,Away Team,Result
56,12,09-01-2026 19:00,Leichhardt Oval,Sydney Women,Adelaide United Women,
57,12,09-01-2026 22:00,Sam Kerr Football Centre,Perth Glory Women,Western Sydney Wanderers Women,
58,12,10-01-2026 14:00,Porirua Park,Wellington Phoenix Women,Melbourne City Women,
59,12,10-01-2026 17:00,No.2 Sportsground,Newcastle Jets Women,Central Coast Mariners Women,
60,12,11-01-2026 17:00,Home of the Matildas,Melbourne Victory Women,Brisbane Roar Women,
61,13,16-01-2026 16:50,AAMI Park,Melbourne City Women,Newcastle Jets Women,
62,13,16-01-2026 19:00,Wanderers Football Park,Western Sydney Wanderers Women,Brisbane Roar Women,
63,13,17-01-2026 16:50,Coopers Stadium,Adelaide United Women,Melbourne Victory Women,
64,13,17-01-2026 17:30,McKellar Park,Canberra United Women,Wellington Phoenix Women,
65,13,18-01-2026 17:00,polytec Stadium,Central Coast Mariners Women,Perth Glory Women,
66,14,23-01-2026 19:00,Imperial Corp Stadium,Brisbane Roar Women,Canberra United Women,
67,14,24-01-2026 17:00,polytec Stadium,Central Coast Mariners Women,Western Sydney Wanderers Women,
68,14,24-01-2026 20:00,Sam Kerr Football Centre,Perth Glory Women,Melbourne City Women,
69,14,25-01-2026 14:00,Porirua Park,Wellington Phoenix Women,Adelaide United Women,
70,14,25-01-2026 17:00,Home of the Matildas,Melbourne Victory Women,Sydney Women,
71,15,30-01-2026 16:50,Coopers Stadium,Adelaide United Women,Melbourne City Women,
72,15,30-01-2026 20:00,Imperial Corp Stadium,Brisbane Roar Women,Central Coast Mariners Women,
73,15,31-01-2026 17:00,Allianz Stadium,Sydney Women,Western Sydney Wanderers Women,
74,15,31-01-2026 17:30,McKellar Park,Canberra United Women,Melbourne Victory Women,
75,15,01-02-2026 17:00,No.2 Sportsground,Newcastle Jets Women,Wellington Phoenix Women,
76,16,06-02-2026 14:00,Sky Stadium,Wellington Phoenix Women,Perth Glory Women,
77,16,07-02-2026 16:50,CommBank Stadium,Western Sydney Wanderers Women,Adelaide United Women,
78,16,07-02-2026 17:00,TBA,Melbourne Victory Women,Newcastle Jets Women,
79,16,08-02-2026 17:00,ctrl:cyber Pitch,Melbourne City Women,Brisbane Roar Women,
80,16,08-02-2026 17:00,Leichhardt Oval,Sydney Women,Canberra United Women,
81,17,13-02-2026 16:50,CommBank Stadium,Western Sydney Wanderers Women,Newcastle Jets Women,
82,17,13-02-2026 19:00,Imperial Corp Stadium,Brisbane Roar Women,Sydney Women,
83,17,14-02-2026 20:00,Sam Kerr Football Centre,Perth Glory Women,Canberra United Women,
84,17,15-02-2026 14:00,Porirua Park,Wellington Phoenix Women,Central Coast Mariners Women,
85,17,15-02-2026 17:00,ctrl:cyber Pitch,Melbourne City Women,Melbourne Victory Women,
86,18,20-02-2026 19:00,polytec Stadium,Central Coast Mariners Women,Melbourne City Women,
87,18,20-02-2026 19:00,Home of the Matildas,Melbourne Victory Women,Wellington Phoenix Women,
88,18,21-02-2026 16:30,McKellar Park,Canberra United Women,Western Sydney Wanderers Women,
89,18,21-02-2026 17:00,No.2 Sportsground,Newcastle Jets Women,Perth Glory Women,
90,18,22-02-2026 18:00,Imperial Corp Stadium,Brisbane Roar Women,Adelaide United Women,
91,19,13-03-2026 19:00,No.2 Sportsground,Newcastle Jets Women,Sydney Women,
92,19,13-03-2026 19:00,Coopers Stadium,Adelaide United Women,Perth Glory Women,
93,19,14-03-2026 15:45,TBA,Wellington Phoenix Women,Brisbane Roar Women,
94,19,14-03-2026 18:00,Home of the Matildas,Melbourne Victory Women,Western Sydney Wanderers Women,
95,19,15-03-2026 14:00,ctrl:cyber Pitch,Melbourne City Women,Canberra United Women,
96,20,20-03-2026 18:00,Imperial Corp Stadium,Brisbane Roar Women,Newcastle Jets Women,
97,20,20-03-2026 19:00,Leichhardt Oval,Sydney Women,Wellington Phoenix Women,
98,20,21-03-2026 17:00,Sam Kerr Football Centre,Perth Glory Women,Central Coast Mariners Women,
99,20,22-03-2026 14:00,McKellar Park,Canberra United Women,Adelaide United Women,
100,20,22-03-2026 16:00,Wanderers Football Park,Western Sydney Wanderers Women,Melbourne City Women,
101,21,27-03-2026 19:00,Imperial Corp Stadium,Brisbane Roar Women,Perth Glory Women,
102,21,28-03-2026 15:00,ServiceFM Stadium,Adelaide United Women,Newcastle Jets Women,
103,21,28-03-2026 17:00,Leichhardt Oval,Sydney Women,Melbourne Victory Women,
104,21,29-03-2026 14:00,Porirua Park,Wellington Phoenix Women,Western Sydney Wanderers Women,
105,21,29-03-2026 16:00,polytec Stadium,Central Coast Mariners Women,Canberra United Women,
106,22,03-04-2026 16:50,Coopers Stadium,Adelaide United Women,Wellington Phoenix Women,
107,22,03-04-2026 19:00,Sam Kerr Football Centre,Perth Glory Women,Melbourne Victory Women,
108,22,04-04-2026 15:00,McKellar Park,Canberra United Women,Brisbane Roar Women,
109,22,04-04-2026 17:45,polytec Stadium,Central Coast Mariners Women,Sydney Women,
110,22,05-04-2026 16:00,Maitland Sports Ground,Newcastle Jets Women,Melbourne City Women,
