Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result
154,2,04-08-2025 1:45:0,Oracle Park,San Francisco Giants,Cincinnati Reds,0,2,Cincinnati Reds
155,2,04-08-2025 2:5:0,Sutter Health Park,Athletics,San Diego Padres,4,5,San Diego Padres
158,2,04-08-2025 17:10:0,Comerica Park,Detroit Tigers,New York Yankees,5,0,Detroit Tigers
156,2,04-08-2025 20:10:0,Progressive Field,Cleveland Guardians,Chicago White Sox,1,0,Cleveland Guardians
162,2,04-08-2025 20:10:0,Citi Field,New York Mets,Miami Marlins,10,5,New York Mets
157,2,04-08-2025 22:40:0,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,3,5,St. Louis Cardinals
159,2,04-08-2025 22:45:0,Nationals Park,Washington Nationals,Los Angeles Dodgers,8,2,Washington Nationals
160,2,04-08-2025 22:45:0,Fenway Park,Boston Red Sox,Toronto Blue Jays,1,6,Toronto Blue Jays
161,2,04-08-2025 23:5:0,George M. Steinbrenner Field,Tampa Bay Rays,Los Angeles Angels,3,4,Los Angeles Angels
163,2,04-08-2025 23:15:0,Truist Park,Atlanta Braves,Philadelphia Phillies,7,5,Atlanta Braves
164,2,04-08-2025 23:40:0,Wrigley Field,Chicago Cubs,Texas Rangers,10,6,Chicago Cubs
165,2,04-08-2025 23:40:0,Kauffman Stadium,Kansas City Royals,Minnesota Twins,2,1,Kansas City Royals
166,2,04-09-2025 0:40:0,Coors Field,Colorado Rockies,Milwaukee Brewers,1,7,Milwaukee Brewers
167,2,04-09-2025 1:40:0,Chase Field,Arizona Diamondbacks,Baltimore Orioles,4,3,Arizona Diamondbacks
168,2,04-09-2025 1:40:0,T-Mobile Park,Seattle Mariners,Houston Astros,1,2,Houston Astros
169,2,04-09-2025 1:45:0,Oracle Park,San Francisco Giants,Cincinnati Reds,0,1,Cincinnati Reds
170,2,04-09-2025 2:5:0,Sutter Health Park,Athletics,San Diego Padres,10,4,Athletics
171,3,04-09-2025 16:35:0,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,2,1,Pittsburgh Pirates
172,3,04-09-2025 17:10:0,Citi Field,New York Mets,Miami Marlins,0,5,Miami Marlins
180,3,04-09-2025 17:10:0,Comerica Park,Detroit Tigers,New York Yankees,3,4,New York Yankees
173,3,04-09-2025 18:20:0,Wrigley Field,Chicago Cubs,Texas Rangers,2,6,Texas Rangers
174,3,04-09-2025 19:35:0,Sutter Health Park,Athletics,San Diego Padres,1,2,San Diego Padres
175,3,04-09-2025 19:40:0,Chase Field,Arizona Diamondbacks,Baltimore Orioles,9,0,Arizona Diamondbacks
176,3,04-09-2025 19:45:0,Oracle Park,San Francisco Giants,Cincinnati Reds,8,6,San Francisco Giants
177,3,04-09-2025 20:5:0,Nationals Park,Washington Nationals,Los Angeles Dodgers,5,6,Los Angeles Dodgers
178,3,04-09-2025 20:10:0,T-Mobile Park,Seattle Mariners,Houston Astros,7,6,Seattle Mariners
179,3,04-09-2025 22:10:0,Progressive Field,Cleveland Guardians,Chicago White Sox,3,2,Cleveland Guardians
181,3,04-09-2025 22:45:0,Fenway Park,Boston Red Sox,Toronto Blue Jays,1,2,Toronto Blue Jays
182,3,04-09-2025 23:5:0,George M. Steinbrenner Field,Tampa Bay Rays,Los Angeles Angels,5,4,Tampa Bay Rays
183,3,04-09-2025 23:15:0,Truist Park,Atlanta Braves,Philadelphia Phillies,3,4,Philadelphia Phillies
184,3,04-09-2025 23:40:0,Kauffman Stadium,Kansas City Royals,Minnesota Twins,0,4,Minnesota Twins
185,3,04-10-2025 0:40:0,Coors Field,Colorado Rockies,Milwaukee Brewers,2,17,Milwaukee Brewers
186,3,04-10-2025 17:10:0,George M. Steinbrenner Field,Tampa Bay Rays,Los Angeles Angels,1,11,Los Angeles Angels
187,3,04-10-2025 17:10:0,Progressive Field,Cleveland Guardians,Chicago White Sox,6,1,Cleveland Guardians
188,3,04-10-2025 18:10:0,Kauffman Stadium,Kansas City Royals,Minnesota Twins,3,2,Kansas City Royals
189,3,04-10-2025 19:10:0,Coors Field,Colorado Rockies,Milwaukee Brewers,7,2,Colorado Rockies
190,3,04-10-2025 20:10:0,Fenway Park,Boston Red Sox,Toronto Blue Jays,4,3,Boston Red Sox
191,3,04-10-2025 23:15:0,Truist Park,Atlanta Braves,Philadelphia Phillies,4,2,Atlanta Braves
192,3,04-11-2025 22:10:0,Progressive Field,Cleveland Guardians,Kansas City Royals,7,0,Cleveland Guardians
193,3,04-11-2025 22:40:0,Great American Ball Park,Cincinnati Reds,Pittsburgh Pirates,5,3,Cincinnati Reds
195,3,04-11-2025 23:5:0,George M. Steinbrenner Field,Tampa Bay Rays,Atlanta Braves,6,3,Tampa Bay Rays
196,3,04-11-2025 23:5:0,Yankee Stadium,New York Yankees,San Francisco Giants,1,9,San Francisco Giants
197,3,04-11-2025 23:10:0,loanDepot park,Miami Marlins,Washington Nationals,4,7,Washington Nationals
198,3,04-11-2025 23:40:0,Rate Field,Chicago White Sox,Boston Red Sox,11,1,Chicago White Sox
199,3,04-12-2025 0:10:0,Daikin Park,Houston Astros,Los Angeles Angels,14,3,Houston Astros
200,3,04-12-2025 0:10:0,Target Field,Minnesota Twins,Detroit Tigers,6,7,Detroit Tigers
201,3,04-12-2025 0:15:0,Busch Stadium,St. Louis Cardinals,Philadelphia Phillies,2,0,St. Louis Cardinals
202,3,04-12-2025 1:40:0,Petco Park,San Diego Padres,Colorado Rockies,8,0,San Diego Padres
203,3,04-12-2025 1:40:0,T-Mobile Park,Seattle Mariners,Texas Rangers,5,3,Seattle Mariners
204,3,04-12-2025 1:40:0,Chase Field,Arizona Diamondbacks,Milwaukee Brewers,0,7,Milwaukee Brewers
205,3,04-12-2025 2:5:0,Sutter Health Park,Athletics,New York Mets,6,7,New York Mets
206,3,04-12-2025 2:10:0,Dodger Stadium,Los Angeles Dodgers,Chicago Cubs,3,0,Los Angeles Dodgers
207,3,04-12-2025 18:10:0,Target Field,Minnesota Twins,Detroit Tigers,0,4,Detroit Tigers
208,3,04-12-2025 18:15:0,Busch Stadium,St. Louis Cardinals,Philadelphia Phillies,1,4,Philadelphia Phillies
211,3,04-12-2025 19:5:0,Yankee Stadium,New York Yankees,San Francisco Giants,8,4,New York Yankees
209,3,04-12-2025 20:5:0,Sutter Health Park,Athletics,New York Mets,3,1,Athletics
210,3,04-12-2025 20:5:0,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,5,4,Baltimore Orioles
212,3,04-12-2025 20:10:0,George M. Steinbrenner Field,Tampa Bay Rays,Atlanta Braves,4,5,Atlanta Braves
213,3,04-12-2025 20:10:0,Rate Field,Chicago White Sox,Boston Red Sox,3,2,Chicago White Sox
214,3,04-12-2025 20:10:0,loanDepot park,Miami Marlins,Washington Nationals,7,6,Miami Marlins
215,3,04-12-2025 22:10:0,Progressive Field,Cleveland Guardians,Kansas City Royals,6,3,Cleveland Guardians
216,3,04-12-2025 22:40:0,Great American Ball Park,Cincinnati Reds,Pittsburgh Pirates,5,2,Cincinnati Reds
217,3,04-12-2025 23:10:0,Daikin Park,Houston Astros,Los Angeles Angels,1,4,Los Angeles Angels
218,3,13-04-2025 00:10,Chase Field,Arizona Diamondbacks,Milwaukee Brewers,5,4,Arizona Diamondbacks
219,3,13-04-2025 00:40,Petco Park,San Diego Padres,Colorado Rockies,2,0,San Diego Padres
220,3,13-04-2025 01:10,Dodger Stadium,Los Angeles Dodgers,Chicago Cubs,0,16,Chicago Cubs
221,3,13-04-2025 01:40,T-Mobile Park,Seattle Mariners,Texas Rangers,9,2,Seattle Mariners
222,3,13-04-2025 17:35,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,6,7,Toronto Blue Jays
223,3,13-04-2025 17:35,Yankee Stadium,New York Yankees,San Francisco Giants,4,5,San Francisco Giants
224,3,13-04-2025 17:40,Progressive Field,Cleveland Guardians,Kansas City Royals,2,4,Kansas City Royals
225,3,13-04-2025 17:40,Great American Ball Park,Cincinnati Reds,Pittsburgh Pirates,4,0,Cincinnati Reds
226,3,13-04-2025 17:40,George M. Steinbrenner Field,Tampa Bay Rays,Atlanta Braves,8,3,Tampa Bay Rays
227,3,13-04-2025 17:40,loanDepot park,Miami Marlins,Washington Nationals,11,4,Miami Marlins
228,3,13-04-2025 18:10,Daikin Park,Houston Astros,Los Angeles Angels,7,3,Houston Astros
229,3,13-04-2025 18:10,Target Field,Minnesota Twins,Detroit Tigers,5,1,Minnesota Twins
230,3,13-04-2025 18:10,Rate Field,Chicago White Sox,Boston Red Sox,1,3,Boston Red Sox
231,3,13-04-2025 18:15,Busch Stadium,St. Louis Cardinals,Philadelphia Phillies,7,0,St. Louis Cardinals
232,3,13-04-2025 20:05,Sutter Health Park,Athletics,New York Mets,0,8,New York Mets
233,3,13-04-2025 20:10,Petco Park,San Diego Padres,Colorado Rockies,6,0,San Diego Padres
234,3,13-04-2025 20:10,T-Mobile Park,Seattle Mariners,Texas Rangers,3,1,Seattle Mariners
235,3,13-04-2025 20:10,Chase Field,Arizona Diamondbacks,Milwaukee Brewers,5,2,Arizona Diamondbacks
236,3,13-04-2025 23:10,Dodger Stadium,Los Angeles Dodgers,Chicago Cubs,2,4,Chicago Cubs
237,3,14-04-2025 22:40,PNC Park,Pittsburgh Pirates,Washington Nationals,10,3,Pittsburgh Pirates
238,3,14-04-2025 22:45,Citizens Bank Park,Philadelphia Phillies,San Francisco Giants,4,10,San Francisco Giants
239,3,14-04-2025 23:05,George M. Steinbrenner Field,Tampa Bay Rays,Boston Red Sox,16,1,Tampa Bay Rays
240,3,14-04-2025 23:05,Yankee Stadium,New York Yankees,Kansas City Royals,4,1,New York Yankees
241,3,14-04-2025 23:07,Rogers Centre,Toronto Blue Jays,Atlanta Braves,4,8,Atlanta Braves
242,3,14-04-2025 23:40,Target Field,Minnesota Twins,New York Mets,1,5,New York Mets
243,3,14-04-2025 23:40,American Family Field,Milwaukee Brewers,Detroit Tigers,1,9,Detroit Tigers
244,3,14-04-2025 23:45,Busch Stadium,St. Louis Cardinals,Houston Astros,8,3,St. Louis Cardinals
245,3,15-04-2025 01:40,Petco Park,San Diego Padres,Chicago Cubs,10,4,San Diego Padres
246,3,15-04-2025 02:10,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,5,3,Los Angeles Dodgers
247,3,15-04-2025 22:40,PNC Park,Pittsburgh Pirates,Washington Nationals,0,3,Washington Nationals
248,3,15-04-2025 22:40,Great American Ball Park,Cincinnati Reds,Seattle Mariners,8,4,Cincinnati Reds
249,3,15-04-2025 22:40,loanDepot park,Miami Marlins,Arizona Diamondbacks,4,10,Arizona Diamondbacks
250,3,15-04-2025 22:45,Citizens Bank Park,Philadelphia Phillies,San Francisco Giants,6,4,Philadelphia Phillies
